AÑO;CÓDIGO_MUNICIPIO;MUNICIPIO;CÓDIGO_DEPARTAMENTO;DEPARTAMENTO;CÓDIGO_ETC;ETC;POBLACIÓN_5_16;TASA_MATRICULACIÓN_5_16;COBERTURA_NETA;COBERTURA_NETA_TRANSICIÓN;COBERTURA_NETA_PRIMARIA;COBERTURA_NETA_SECUNDARIA;COBERTURA_NETA_MEDIA;COBERTURA_BRUTA;COBERTURA_BRUTA_TRANSICIÓN;COBERTURA_BRUTA_PRIMARIA;COBERTURA_BRUTA_SECUNDARIA;COBERTURA_BRUTA_MEDIA;DESERCIÓN;DESERCIÓN_TRANSICIÓN;DESERCIÓN_PRIMARIA;DESERCIÓN_SECUNDARIA;DESERCIÓN_MEDIA;APROBACIÓN;APROBACIÓN_TRANSICIÓN;APROBACIÓN_PRIMARIA;APROBACIÓN_SECUNDARIA;APROBACIÓN_MEDIA;REPROBACIÓN;REPROBACIÓN_TRANSICIÓN;REPROBACIÓN_PRIMARIA;REPROBACIÓN_SECUNDARIA;REPROBACIÓN_MEDIA;REPITENCIA;REPITENCIA_TRANSICIÓN;REPITENCIA_PRIMARIA;REPITENCIA_SECUNDARIA;REPITENCIA_MEDIA
2024;66318;Guática;66;Risaralda;3805;Risaralda (ETC);2192;80.52%;80.52%;59.64%;76.56%;68.69%;60.98%;89.96%;83.13%;86.33%;91.02%;99.73%;3.48%;2.17%;2.45%;4.68%;4.25%;95.16%;0%;97.04%;92.58%;94.44%;1.36%;0%;0.52%;2.74%;1.31%;3.7%;0%;2.84%;5.48%;3.92%
2024;66170;Dosquebradas;66;Risaralda;3807;Dosquebradas;34512;84.51%;84.46%;59.78%;82.76%;76.21%;48.81%;92.01%;78.01%;94.97%;97.5%;80.77%;5.83%;5.43%;4.96%;7.28%;5.01%;85.57%;0%;90.54%;77.01%;87.95%;8.6%;0%;4.5%;15.71%;7.04%;8.43%;2.4%;6.78%;13.31%;3.58%
2024;66088;Belén de Umbría;66;Risaralda;3805;Risaralda (ETC);4558;81.57%;81.57%;55.71%;79.7%;71.8%;51.08%;89.12%;78.55%;91.1%;93.14%;80.73%;5.06%;3.55%;3.74%;7.45%;4.21%;90.06%;0%;93.04%;84.27%;91.4%;4.88%;0%;3.22%;8.28%;4.4%;6.61%;2.13%;5.92%;9.56%;3.82%
2024;66075;Balboa;66;Risaralda;3805;Risaralda (ETC);1119;78.55%;78.55%;39.08%;80.43%;62.2%;38.67%;92.23%;62.07%;100.43%;94.23%;81.22%;6.48%;3.7%;6.42%;7.21%;6%;89.09%;0%;90.58%;86.23%;87%;4.43%;0%;3%;6.56%;7%;11.45%;5.56%;14.35%;10.16%;5%
2024;66045;Apía;66;Risaralda;3805;Risaralda (ETC);2176;72.56%;72.56%;56.63%;69.38%;62.52%;45.48%;80.79%;86.14%;79.29%;82.6%;78.36%;4.58%;6.99%;3.23%;5.38%;5.2%;93.28%;0%;95.65%;91.32%;91.2%;2.14%;0%;1.12%;3.3%;3.6%;4.1%;3.5%;2.95%;5.2%;5.2%
2024;66001;Pereira;66;Risaralda;3806;Pereira;71771;102.96%;102.45%;72.1%;97.56%;90.86%;62.04%;114.83%;96.12%;113.18%;123.12%;111.4%;5.49%;6.35%;5.11%;6.64%;3.31%;87.06%;0.82%;90.12%;81.35%;90.08%;7.45%;0.82%;4.77%;12%;6.61%;8.43%;5.82%;7.22%;12%;4.11%
2024;63690;Salento;63;Quindio;3803;Quindio (ETC);1408;141.76%;141.48%;125.83%;121.45%;127.37%;71.12%;155.33%;224.17%;150.17%;161.21%;121.12%;1.95%;1.47%;2.74%;1.54%;0.87%;92.33%;0%;92.05%;90.46%;94.78%;5.73%;0%;5.21%;8%;4.35%;8.25%;2.94%;4.66%;14.46%;5.22%
2024;63594;Quimbaya;63;Quindio;3803;Quindio (ETC);4764;95%;95%;76.62%;91.76%;81.33%;58.15%;103.76%;99.25%;109.34%;105.29%;88.87%;4.74%;4.72%;4.85%;5.69%;1.98%;88.15%;0%;88.36%;83.65%;94.39%;7.11%;0%;6.79%;10.66%;3.63%;7.59%;0.28%;7.08%;11.78%;3.3%
2024;63548;Pijao;63;Quindio;3803;Quindio (ETC);885;113.22%;113.22%;65.33%;79.26%;106.46%;95%;135.37%;104%;109.04%;158.5%;174.29%;4.53%;3.85%;4.69%;4.27%;5.1%;87.63%;1.28%;89.32%;82.93%;91.08%;7.85%;1.28%;5.99%;12.8%;3.82%;9.26%;11.54%;8.85%;11.73%;3.18%
2024;63470;Montenegro;63;Quindio;3803;Quindio (ETC);6121;86.18%;86.18%;70.31%;85.27%;72.69%;45.25%;93.96%;87.7%;100.86%;97.28%;73.16%;5.4%;5.66%;3.82%;7.46%;5.69%;85.7%;0%;88.86%;77.89%;89.23%;8.9%;0%;7.32%;14.65%;5.08%;8.69%;2.04%;8.27%;12.1%;5.38%
